run,step,total_steps,val_loss,train_time_ms,train_time_s,step_avg_ms
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1370,1400,3.2881,629329,629.329,459.36
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1371,1400,3.288,630002,630.002,459.52
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1372,1400,3.2875,630679,630.679,459.68
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1373,1400,3.2873,631353,631.353,459.83
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1374,1400,3.2869,632031,632.031,459.99
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1375,1400,3.2851,632711,632.711,460.15
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1376,1400,3.2844,633392,633.392,460.31
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1377,1400,3.2841,634069,634.069,460.47
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1378,1400,3.2836,634751,634.751,460.63
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1379,1400,3.2834,635431,635.431,460.79
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1380,1400,3.283,636112,636.112,460.95
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1381,1400,3.2828,636790,636.79,461.11
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1382,1400,3.2825,637472,637.472,461.27
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1383,1400,3.2823,638149,638.149,461.42
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1384,1400,3.2821,638829,638.829,461.58
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1385,1400,3.2819,639505,639.505,461.74
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1386,1400,3.2816,640188,640.188,461.9
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1387,1400,3.2815,640869,640.869,462.05
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1388,1400,3.2812,641551,641.551,462.21
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1389,1400,3.281,642228,642.228,462.37
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1390,1400,3.2806,642907,642.907,462.52
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1391,1400,3.2805,643583,643.583,462.68
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1392,1400,3.2803,644263,644.263,462.83
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1393,1400,3.2802,644939,644.939,462.99
record-pairedxsa-gate-off-1400-denseval-stop328-20260526,1394,1400,3.2799,645620,645.62,463.14
record-xsa-gate-off-1400-denseval-stop328-20260526,1400,1400,3.2754,631949,631.949,451.39
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1370,1400,3.2878,615267,615.267,449.1
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1371,1400,3.2877,615928,615.928,449.25
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1372,1400,3.2873,616595,616.595,449.41
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1373,1400,3.2871,617255,617.255,449.57
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1374,1400,3.2867,617917,617.917,449.72
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1375,1400,3.2848,618580,618.58,449.88
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1376,1400,3.2842,619246,619.246,450.03
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1377,1400,3.2838,619912,619.912,450.19
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1378,1400,3.2833,620575,620.575,450.34
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1379,1400,3.2832,621237,621.237,450.5
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1380,1400,3.2828,621901,621.901,450.65
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1381,1400,3.2826,622562,622.562,450.8
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1382,1400,3.2823,623230,623.23,450.96
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1383,1400,3.2821,623890,623.89,451.11
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1384,1400,3.2818,624559,624.559,451.27
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1385,1400,3.2816,625224,625.224,451.43
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1386,1400,3.2812,625889,625.889,451.58
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1387,1400,3.2811,626556,626.556,451.73
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1388,1400,3.2809,627225,627.225,451.89
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1389,1400,3.2807,627891,627.891,452.05
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1390,1400,3.2804,628558,628.558,452.2
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1391,1400,3.2803,629220,629.22,452.35
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1392,1400,3.2801,629887,629.887,452.5
record-xsa-gate-off-1400-denseval-stop328-fixedcode-20260526,1393,1400,3.2799,630551,630.551,452.66
record-xsa-gate-on-1400-denseval-stop328-20260526,1370,1400,3.2874,629632,629.632,459.59
record-xsa-gate-on-1400-denseval-stop328-20260526,1371,1400,3.2872,630307,630.307,459.74
record-xsa-gate-on-1400-denseval-stop328-20260526,1372,1400,3.2868,630985,630.985,459.9
record-xsa-gate-on-1400-denseval-stop328-20260526,1373,1400,3.2866,631658,631.658,460.06
record-xsa-gate-on-1400-denseval-stop328-20260526,1374,1400,3.2862,632336,632.336,460.22
record-xsa-gate-on-1400-denseval-stop328-20260526,1375,1400,3.2842,633017,633.017,460.38
record-xsa-gate-on-1400-denseval-stop328-20260526,1376,1400,3.2836,633697,633.697,460.54
record-xsa-gate-on-1400-denseval-stop328-20260526,1377,1400,3.2833,634372,634.372,460.69
record-xsa-gate-on-1400-denseval-stop328-20260526,1378,1400,3.2828,635053,635.053,460.85
record-xsa-gate-on-1400-denseval-stop328-20260526,1379,1400,3.2826,635729,635.729,461.01
record-xsa-gate-on-1400-denseval-stop328-20260526,1380,1400,3.2823,636408,636.408,461.17
record-xsa-gate-on-1400-denseval-stop328-20260526,1381,1400,3.2821,637083,637.083,461.32
record-xsa-gate-on-1400-denseval-stop328-20260526,1382,1400,3.2818,637766,637.766,461.48
record-xsa-gate-on-1400-denseval-stop328-20260526,1383,1400,3.2816,638447,638.447,461.64
record-xsa-gate-on-1400-denseval-stop328-20260526,1384,1400,3.2814,639128,639.128,461.8
record-xsa-gate-on-1400-denseval-stop328-20260526,1385,1400,3.2812,639804,639.804,461.95
record-xsa-gate-on-1400-denseval-stop328-20260526,1386,1400,3.2808,640484,640.484,462.11
record-xsa-gate-on-1400-denseval-stop328-20260526,1387,1400,3.2807,641163,641.163,462.27
record-xsa-gate-on-1400-denseval-stop328-20260526,1388,1400,3.2804,641843,641.843,462.42
record-xsa-gate-on-1400-denseval-stop328-20260526,1389,1400,3.2802,642521,642.521,462.58
record-xsa-gate-on-1400-denseval-stop328-20260526,1390,1400,3.2799,643201,643.201,462.73
