[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13389.64it/s]
/root/modded-nanogpt/logs/record-detached-no-attn-gate-stop328-1450.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 1450 optimizer steps
step:0/1450 val_loss:10.8279 train_time:1ms step_avg:0.66ms
step:1/1450 train_time:231ms step_avg:230.77ms
step:2/1450 train_time:463ms step_avg:231.26ms
step:3/1450 train_time:697ms step_avg:232.24ms
step:4/1450 train_time:931ms step_avg:232.67ms
step:5/1450 train_time:1172ms step_avg:234.40ms
step:6/1450 train_time:1408ms step_avg:234.66ms
step:7/1450 train_time:1644ms step_avg:234.89ms
step:8/1450 train_time:1879ms step_avg:234.86ms
step:9/1450 train_time:2118ms step_avg:235.33ms
step:10/1450 train_time:2355ms step_avg:235.54ms
step:11/1450 train_time:2593ms step_avg:235.71ms
step:12/1450 train_time:2829ms step_avg:235.74ms
step:13/1450 train_time:3066ms step_avg:235.86ms
step:14/1450 train_time:3305ms step_avg:236.05ms
step:15/1450 train_time:3541ms step_avg:236.07ms
step:16/1450 train_time:3778ms step_avg:236.12ms
step:17/1450 train_time:4017ms step_avg:236.28ms
step:18/1450 train_time:4253ms step_avg:236.29ms
step:19/1450 train_time:4491ms step_avg:236.36ms
step:20/1450 train_time:4726ms step_avg:236.32ms
step:21/1450 train_time:4963ms step_avg:236.35ms
step:22/1450 train_time:5201ms step_avg:236.40ms
step:23/1450 train_time:5439ms step_avg:236.47ms
step:24/1450 train_time:5676ms step_avg:236.48ms
step:25/1450 train_time:5912ms step_avg:236.50ms
step:26/1450 train_time:6151ms step_avg:236.56ms
step:27/1450 train_time:6390ms step_avg:236.65ms
step:28/1450 train_time:6627ms step_avg:236.68ms
step:29/1450 train_time:6864ms step_avg:236.70ms
step:30/1450 train_time:7101ms step_avg:236.71ms
step:31/1450 train_time:7339ms step_avg:236.75ms
step:32/1450 train_time:7577ms step_avg:236.78ms
step:33/1450 train_time:7814ms step_avg:236.79ms
