[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5068.65it/s]
logs/laplacian-no-attn-gate-stop328-1450-20260525_234745.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 1450 optimizer steps
step:1/1450 train_time:228ms step_avg:227.79ms
step:2/1450 train_time:458ms step_avg:229.03ms
step:3/1450 train_time:688ms step_avg:229.27ms
step:4/1450 train_time:920ms step_avg:229.92ms
step:5/1450 train_time:1157ms step_avg:231.34ms
step:6/1450 train_time:1391ms step_avg:231.87ms
step:7/1450 train_time:1623ms step_avg:231.89ms
step:8/1450 train_time:1856ms step_avg:232.00ms
step:9/1450 train_time:2092ms step_avg:232.47ms
step:10/1450 train_time:2327ms step_avg:232.70ms
step:11/1450 train_time:2560ms step_avg:232.76ms
step:12/1450 train_time:2792ms step_avg:232.70ms
step:13/1450 train_time:3027ms step_avg:232.83ms
step:14/1450 train_time:3263ms step_avg:233.06ms
step:15/1450 train_time:3498ms step_avg:233.21ms
step:16/1450 train_time:3731ms step_avg:233.19ms
step:17/1450 train_time:3965ms step_avg:233.21ms
step:18/1450 train_time:4199ms step_avg:233.30ms
step:19/1450 train_time:4436ms step_avg:233.46ms
step:20/1450 train_time:4671ms step_avg:233.54ms
step:21/1450 train_time:4904ms step_avg:233.53ms
step:22/1450 train_time:5138ms step_avg:233.57ms
step:23/1450 train_time:5373ms step_avg:233.60ms
step:24/1450 train_time:5608ms step_avg:233.66ms
step:25/1450 train_time:5842ms step_avg:233.68ms
step:26/1450 train_time:6074ms step_avg:233.62ms
step:27/1450 train_time:6307ms step_avg:233.61ms
step:28/1450 train_time:6540ms step_avg:233.58ms
step:29/1450 train_time:6774ms step_avg:233.59ms
step:30/1450 train_time:7007ms step_avg:233.56ms
step:31/1450 train_time:7240ms step_avg:233.56ms
step:32/1450 train_time:7472ms step_avg:233.50ms
step:33/1450 train_time:7706ms step_avg:233.51ms
step:34/1450 train_time:7939ms step_avg:233.49ms
step:35/1450 train_time:8172ms step_avg:233.49ms
step:36/1450 train_time:8403ms step_avg:233.42ms
step:37/1450 train_time:8637ms step_avg:233.42ms
step:38/1450 train_time:8870ms step_avg:233.41ms
step:39/1450 train_time:9102ms step_avg:233.39ms
step:40/1450 train_time:9334ms step_avg:233.36ms
step:41/1450 train_time:9567ms step_avg:233.35ms
step:42/1450 train_time:9799ms step_avg:233.32ms
step:43/1450 train_time:10033ms step_avg:233.31ms
step:44/1450 train_time:10264ms step_avg:233.28ms
step:45/1450 train_time:10498ms step_avg:233.29ms
step:46/1450 train_time:10731ms step_avg:233.29ms
step:47/1450 train_time:10965ms step_avg:233.29ms
step:48/1450 train_time:11200ms step_avg:233.34ms
step:49/1450 train_time:11433ms step_avg:233.33ms
step:50/1450 train_time:11666ms step_avg:233.32ms
step:51/1450 train_time:11899ms step_avg:233.32ms
step:52/1450 train_time:12132ms step_avg:233.30ms
step:53/1450 train_time:12364ms step_avg:233.29ms
step:54/1450 train_time:12600ms step_avg:233.33ms
step:55/1450 train_time:12833ms step_avg:233.33ms
step:56/1450 train_time:13066ms step_avg:233.33ms
step:57/1450 train_time:13299ms step_avg:233.31ms
step:58/1450 train_time:13533ms step_avg:233.32ms
step:59/1450 train_time:13765ms step_avg:233.31ms
step:60/1450 train_time:13999ms step_avg:233.32ms
step:61/1450 train_time:14232ms step_avg:233.31ms
step:62/1450 train_time:14465ms step_avg:233.30ms
step:63/1450 train_time:14698ms step_avg:233.31ms
step:64/1450 train_time:14934ms step_avg:233.34ms
step:65/1450 train_time:15167ms step_avg:233.34ms
step:66/1450 train_time:15400ms step_avg:233.33ms
step:67/1450 train_time:15633ms step_avg:233.33ms
step:68/1450 train_time:15866ms step_avg:233.33ms
step:69/1450 train_time:16101ms step_avg:233.34ms
step:70/1450 train_time:16335ms step_avg:233.35ms
step:71/1450 train_time:16568ms step_avg:233.36ms
step:72/1450 train_time:16802ms step_avg:233.35ms
step:73/1450 train_time:17035ms step_avg:233.35ms
step:74/1450 train_time:17269ms step_avg:233.36ms
step:75/1450 train_time:17502ms step_avg:233.36ms
step:76/1450 train_time:17735ms step_avg:233.35ms
step:77/1450 train_time:17969ms step_avg:233.37ms
step:78/1450 train_time:18203ms step_avg:233.37ms
step:79/1450 train_time:18437ms step_avg:233.38ms
step:80/1450 train_time:18670ms step_avg:233.37ms
step:81/1450 train_time:18904ms step_avg:233.38ms
step:82/1450 train_time:19137ms step_avg:233.38ms
step:83/1450 train_time:19371ms step_avg:233.39ms
step:84/1450 train_time:19605ms step_avg:233.39ms
step:85/1450 train_time:19839ms step_avg:233.40ms
step:86/1450 train_time:20072ms step_avg:233.40ms
step:87/1450 train_time:20307ms step_avg:233.41ms
step:88/1450 train_time:20542ms step_avg:233.43ms
step:89/1450 train_time:20776ms step_avg:233.44ms
step:90/1450 train_time:21009ms step_avg:233.44ms
step:91/1450 train_time:21243ms step_avg:233.44ms
step:92/1450 train_time:21478ms step_avg:233.45ms
step:93/1450 train_time:21713ms step_avg:233.47ms
step:94/1450 train_time:21946ms step_avg:233.47ms
step:95/1450 train_time:22181ms step_avg:233.48ms
step:96/1450 train_time:22415ms step_avg:233.49ms
step:97/1450 train_time:22650ms step_avg:233.50ms
step:98/1450 train_time:22883ms step_avg:233.50ms
step:99/1450 train_time:23118ms step_avg:233.51ms
step:100/1450 train_time:23352ms step_avg:233.52ms
step:101/1450 train_time:23587ms step_avg:233.53ms
step:102/1450 train_time:23821ms step_avg:233.54ms
step:103/1450 train_time:24055ms step_avg:233.54ms
step:104/1450 train_time:24290ms step_avg:233.56ms
step:105/1450 train_time:24525ms step_avg:233.58ms
step:106/1450 train_time:24760ms step_avg:233.58ms
step:107/1450 train_time:24995ms step_avg:233.59ms
step:108/1450 train_time:25229ms step_avg:233.60ms
step:109/1450 train_time:25463ms step_avg:233.61ms
step:110/1450 train_time:25698ms step_avg:233.62ms
step:111/1450 train_time:25933ms step_avg:233.63ms
step:112/1450 train_time:26166ms step_avg:233.63ms
step:113/1450 train_time:26401ms step_avg:233.64ms
step:114/1450 train_time:26636ms step_avg:233.65ms
step:115/1450 train_time:26871ms step_avg:233.66ms
step:116/1450 train_time:27105ms step_avg:233.66ms
step:117/1450 train_time:27340ms step_avg:233.67ms
step:118/1450 train_time:27574ms step_avg:233.68ms
step:119/1450 train_time:27809ms step_avg:233.69ms
step:120/1450 train_time:28043ms step_avg:233.69ms
step:121/1450 train_time:28278ms step_avg:233.70ms
step:122/1450 train_time:28512ms step_avg:233.71ms
step:123/1450 train_time:28748ms step_avg:233.72ms
step:124/1450 train_time:28983ms step_avg:233.73ms
step:125/1450 train_time:29217ms step_avg:233.74ms
step:126/1450 train_time:29452ms step_avg:233.74ms
step:127/1450 train_time:29687ms step_avg:233.76ms
step:128/1450 train_time:29921ms step_avg:233.76ms
step:129/1450 train_time:30156ms step_avg:233.77ms
step:130/1450 train_time:30390ms step_avg:233.77ms
step:131/1450 train_time:30624ms step_avg:233.77ms
step:132/1450 train_time:30858ms step_avg:233.78ms
step:133/1450 train_time:31094ms step_avg:233.79ms
step:134/1450 train_time:31328ms step_avg:233.79ms
step:135/1450 train_time:31563ms step_avg:233.80ms
step:136/1450 train_time:31798ms step_avg:233.81ms
step:137/1450 train_time:32034ms step_avg:233.82ms
step:138/1450 train_time:32269ms step_avg:233.83ms
step:139/1450 train_time:32502ms step_avg:233.83ms
step:140/1450 train_time:32737ms step_avg:233.84ms
step:141/1450 train_time:32972ms step_avg:233.85ms
step:142/1450 train_time:33207ms step_avg:233.85ms
step:143/1450 train_time:33443ms step_avg:233.86ms
step:144/1450 train_time:33677ms step_avg:233.87ms
step:145/1450 train_time:33912ms step_avg:233.88ms
step:146/1450 train_time:34146ms step_avg:233.88ms
step:147/1450 train_time:34382ms step_avg:233.89ms
step:148/1450 train_time:34617ms step_avg:233.90ms
step:149/1450 train_time:34853ms step_avg:233.91ms
step:150/1450 train_time:35088ms step_avg:233.92ms
step:151/1450 train_time:35322ms step_avg:233.92ms
step:152/1450 train_time:35556ms step_avg:233.92ms
step:153/1450 train_time:35792ms step_avg:233.94ms
step:154/1450 train_time:36026ms step_avg:233.94ms
step:155/1450 train_time:36262ms step_avg:233.95ms
step:156/1450 train_time:36495ms step_avg:233.94ms
step:157/1450 train_time:36732ms step_avg:233.96ms
step:158/1450 train_time:36967ms step_avg:233.97ms
step:159/1450 train_time:37203ms step_avg:233.98ms
step:160/1450 train_time:37436ms step_avg:233.98ms
step:161/1450 train_time:37672ms step_avg:233.99ms
step:162/1450 train_time:37907ms step_avg:233.99ms
step:163/1450 train_time:38142ms step_avg:234.00ms
step:164/1450 train_time:38377ms step_avg:234.01ms
step:165/1450 train_time:38612ms step_avg:234.01ms
step:166/1450 train_time:38847ms step_avg:234.02ms
step:167/1450 train_time:39083ms step_avg:234.03ms
step:168/1450 train_time:39317ms step_avg:234.03ms
step:169/1450 train_time:39552ms step_avg:234.04ms
step:170/1450 train_time:39787ms step_avg:234.04ms
step:171/1450 train_time:40023ms step_avg:234.05ms
step:172/1450 train_time:40257ms step_avg:234.05ms
step:173/1450 train_time:40492ms step_avg:234.06ms
step:174/1450 train_time:40726ms step_avg:234.06ms
step:175/1450 train_time:40962ms step_avg:234.07ms
step:176/1450 train_time:41196ms step_avg:234.07ms
step:177/1450 train_time:41433ms step_avg:234.08ms
step:178/1450 train_time:41667ms step_avg:234.09ms
step:179/1450 train_time:41903ms step_avg:234.09ms
step:180/1450 train_time:42137ms step_avg:234.09ms
step:181/1450 train_time:42374ms step_avg:234.11ms
step:182/1450 train_time:42608ms step_avg:234.11ms
step:183/1450 train_time:42843ms step_avg:234.12ms
step:184/1450 train_time:43077ms step_avg:234.12ms
step:185/1450 train_time:43313ms step_avg:234.13ms
step:186/1450 train_time:43549ms step_avg:234.13ms
step:187/1450 train_time:43784ms step_avg:234.14ms
step:188/1450 train_time:44018ms step_avg:234.14ms
step:189/1450 train_time:44253ms step_avg:234.14ms
step:190/1450 train_time:44487ms step_avg:234.14ms
step:191/1450 train_time:44723ms step_avg:234.15ms
step:192/1450 train_time:44957ms step_avg:234.15ms
step:193/1450 train_time:45192ms step_avg:234.16ms
step:194/1450 train_time:45426ms step_avg:234.16ms
step:195/1450 train_time:45662ms step_avg:234.16ms
step:196/1450 train_time:45897ms step_avg:234.17ms
step:197/1450 train_time:46133ms step_avg:234.18ms
step:198/1450 train_time:46366ms step_avg:234.17ms
step:199/1450 train_time:46601ms step_avg:234.18ms
step:200/1450 train_time:46837ms step_avg:234.18ms
step:201/1450 train_time:47073ms step_avg:234.19ms
step:202/1450 train_time:47308ms step_avg:234.20ms
step:203/1450 train_time:47543ms step_avg:234.20ms
step:204/1450 train_time:47778ms step_avg:234.20ms
step:205/1450 train_time:48013ms step_avg:234.21ms
step:206/1450 train_time:48248ms step_avg:234.21ms
step:207/1450 train_time:48483ms step_avg:234.22ms
step:208/1450 train_time:48717ms step_avg:234.22ms
step:209/1450 train_time:48953ms step_avg:234.22ms
step:210/1450 train_time:49187ms step_avg:234.23ms
step:211/1450 train_time:49422ms step_avg:234.23ms
step:212/1450 train_time:49657ms step_avg:234.23ms
step:213/1450 train_time:49892ms step_avg:234.23ms
step:214/1450 train_time:50127ms step_avg:234.24ms
step:215/1450 train_time:50363ms step_avg:234.25ms
step:216/1450 train_time:50597ms step_avg:234.25ms
step:217/1450 train_time:50833ms step_avg:234.25ms
step:218/1450 train_time:51068ms step_avg:234.26ms
step:219/1450 train_time:51303ms step_avg:234.26ms
step:220/1450 train_time:51538ms step_avg:234.26ms
step:221/1450 train_time:51774ms step_avg:234.27ms
step:222/1450 train_time:52009ms step_avg:234.28ms
step:223/1450 train_time:52244ms step_avg:234.28ms
step:224/1450 train_time:52479ms step_avg:234.28ms
step:225/1450 train_time:52714ms step_avg:234.29ms
step:226/1450 train_time:52949ms step_avg:234.29ms
step:227/1450 train_time:53184ms step_avg:234.29ms
step:228/1450 train_time:53419ms step_avg:234.29ms
step:229/1450 train_time:53655ms step_avg:234.30ms
step:230/1450 train_time:53889ms step_avg:234.30ms
step:231/1450 train_time:54124ms step_avg:234.30ms
step:232/1450 train_time:54361ms step_avg:234.31ms
step:233/1450 train_time:54597ms step_avg:234.32ms
step:234/1450 train_time:54831ms step_avg:234.32ms
step:235/1450 train_time:55067ms step_avg:234.33ms
step:236/1450 train_time:55301ms step_avg:234.33ms
step:237/1450 train_time:55537ms step_avg:234.33ms
step:238/1450 train_time:55772ms step_avg:234.34ms
step:239/1450 train_time:56008ms step_avg:234.34ms
step:240/1450 train_time:56244ms step_avg:234.35ms
step:241/1450 train_time:56479ms step_avg:234.35ms
step:242/1450 train_time:56714ms step_avg:234.36ms
step:243/1450 train_time:56950ms step_avg:234.36ms
step:244/1450 train_time:57185ms step_avg:234.36ms
step:245/1450 train_time:57420ms step_avg:234.37ms
step:246/1450 train_time:57655ms step_avg:234.37ms
step:247/1450 train_time:57891ms step_avg:234.38ms
step:248/1450 train_time:58125ms step_avg:234.37ms
step:249/1450 train_time:58361ms step_avg:234.38ms
step:250/1450 train_time:58596ms step_avg:234.39ms
step:251/1450 train_time:58833ms step_avg:234.39ms
step:252/1450 train_time:59067ms step_avg:234.39ms
step:253/1450 train_time:59303ms step_avg:234.40ms
step:254/1450 train_time:59538ms step_avg:234.40ms
step:255/1450 train_time:59774ms step_avg:234.41ms
step:256/1450 train_time:60009ms step_avg:234.41ms
step:257/1450 train_time:60245ms step_avg:234.42ms
step:258/1450 train_time:60479ms step_avg:234.42ms
step:259/1450 train_time:60716ms step_avg:234.42ms
step:260/1450 train_time:60951ms step_avg:234.43ms
step:261/1450 train_time:61186ms step_avg:234.43ms
step:262/1450 train_time:61421ms step_avg:234.43ms
step:263/1450 train_time:61657ms step_avg:234.44ms
step:264/1450 train_time:61891ms step_avg:234.44ms
step:265/1450 train_time:62127ms step_avg:234.44ms
step:266/1450 train_time:62361ms step_avg:234.44ms
step:267/1450 train_time:62597ms step_avg:234.45ms
step:268/1450 train_time:62833ms step_avg:234.45ms
step:269/1450 train_time:63068ms step_avg:234.45ms
step:270/1450 train_time:63303ms step_avg:234.46ms
step:271/1450 train_time:63539ms step_avg:234.46ms
step:272/1450 train_time:63774ms step_avg:234.46ms
step:273/1450 train_time:64010ms step_avg:234.47ms
step:274/1450 train_time:64244ms step_avg:234.47ms
step:275/1450 train_time:64479ms step_avg:234.47ms
step:276/1450 train_time:64714ms step_avg:234.47ms
step:277/1450 train_time:64951ms step_avg:234.48ms
step:278/1450 train_time:65184ms step_avg:234.47ms
step:279/1450 train_time:65419ms step_avg:234.48ms
step:280/1450 train_time:65654ms step_avg:234.48ms
step:281/1450 train_time:65890ms step_avg:234.48ms
step:282/1450 train_time:66124ms step_avg:234.48ms
step:283/1450 train_time:66360ms step_avg:234.49ms
step:284/1450 train_time:66595ms step_avg:234.49ms
step:285/1450 train_time:66830ms step_avg:234.49ms
step:286/1450 train_time:67065ms step_avg:234.49ms
step:287/1450 train_time:67301ms step_avg:234.50ms
