[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 3747.42it/s]
/root/modded-nanogpt/results/codex_xsa_no_gate_target328_20260526T015307Z/logs/codex-xsa-no-gate-target328.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 456, 457, 458, 459, 915, 916, 917, 918, 1373, 1374, 1375, 1376] for warmup
Resetting Model
Capping training loop at 2500 optimizer steps
step:0/2500 val_loss:10.8288 train_time:0ms step_avg:0.46ms
step:1/2500 train_time:253ms step_avg:252.73ms
step:2/2500 train_time:486ms step_avg:243.22ms
step:3/2500 train_time:720ms step_avg:240.08ms
step:4/2500 train_time:956ms step_avg:238.93ms
step:5/2500 train_time:1196ms step_avg:239.13ms
step:6/2500 train_time:1434ms step_avg:238.92ms
step:7/2500 train_time:1666ms step_avg:238.01ms
step:8/2500 train_time:1902ms step_avg:237.79ms
step:9/2500 train_time:2140ms step_avg:237.77ms
step:10/2500 train_time:2380ms step_avg:238.00ms
step:11/2500 train_time:2614ms step_avg:237.61ms
step:12/2500 train_time:2848ms step_avg:237.35ms
step:13/2500 train_time:3087ms step_avg:237.44ms
step:14/2500 train_time:3324ms step_avg:237.41ms
step:15/2500 train_time:3561ms step_avg:237.40ms
step:16/2500 train_time:3796ms step_avg:237.24ms
step:17/2500 train_time:4034ms step_avg:237.26ms
step:18/2500 train_time:4271ms step_avg:237.30ms
step:19/2500 train_time:4509ms step_avg:237.31ms
step:20/2500 train_time:4745ms step_avg:237.24ms
step:21/2500 train_time:4982ms step_avg:237.26ms
step:22/2500 train_time:5221ms step_avg:237.33ms
step:23/2500 train_time:5459ms step_avg:237.36ms
step:24/2500 train_time:5695ms step_avg:237.29ms
step:25/2500 train_time:5932ms step_avg:237.27ms
step:26/2500 train_time:6169ms step_avg:237.25ms
step:27/2500 train_time:6406ms step_avg:237.25ms
step:28/2500 train_time:6642ms step_avg:237.21ms
step:29/2500 train_time:6879ms step_avg:237.22ms
step:30/2500 train_time:7116ms step_avg:237.20ms
step:31/2500 train_time:7353ms step_avg:237.19ms
step:32/2500 train_time:7590ms step_avg:237.17ms
step:33/2500 train_time:7826ms step_avg:237.16ms
step:34/2500 train_time:8063ms step_avg:237.15ms
step:35/2500 train_time:8300ms step_avg:237.15ms
step:36/2500 train_time:8537ms step_avg:237.13ms
step:37/2500 train_time:8773ms step_avg:237.12ms
step:38/2500 train_time:9010ms step_avg:237.11ms
step:39/2500 train_time:9249ms step_avg:237.15ms
step:40/2500 train_time:9484ms step_avg:237.11ms
step:41/2500 train_time:9723ms step_avg:237.15ms
step:42/2500 train_time:9959ms step_avg:237.12ms
step:43/2500 train_time:10197ms step_avg:237.14ms
step:44/2500 train_time:10432ms step_avg:237.10ms
step:45/2500 train_time:10671ms step_avg:237.13ms
step:46/2500 train_time:10907ms step_avg:237.11ms
step:47/2500 train_time:11145ms step_avg:237.12ms
step:48/2500 train_time:11381ms step_avg:237.11ms
step:49/2500 train_time:11620ms step_avg:237.15ms
step:50/2500 train_time:11856ms step_avg:237.13ms
step:51/2500 train_time:12094ms step_avg:237.13ms
step:52/2500 train_time:12330ms step_avg:237.12ms
step:53/2500 train_time:12569ms step_avg:237.15ms
step:54/2500 train_time:12806ms step_avg:237.14ms
step:55/2500 train_time:13043ms step_avg:237.15ms
step:56/2500 train_time:13280ms step_avg:237.14ms
step:57/2500 train_time:13518ms step_avg:237.16ms
step:58/2500 train_time:13756ms step_avg:237.17ms
step:59/2500 train_time:13992ms step_avg:237.16ms
step:60/2500 train_time:14229ms step_avg:237.15ms
step:61/2500 train_time:14468ms step_avg:237.18ms
step:62/2500 train_time:14705ms step_avg:237.17ms
step:63/2500 train_time:14943ms step_avg:237.20ms
step:64/2500 train_time:15180ms step_avg:237.18ms
step:65/2500 train_time:15417ms step_avg:237.19ms
step:66/2500 train_time:15653ms step_avg:237.17ms
step:67/2500 train_time:15891ms step_avg:237.18ms
step:68/2500 train_time:16130ms step_avg:237.20ms
step:69/2500 train_time:16368ms step_avg:237.22ms
step:70/2500 train_time:16607ms step_avg:237.25ms
step:71/2500 train_time:16842ms step_avg:237.22ms
step:72/2500 train_time:17081ms step_avg:237.24ms
step:73/2500 train_time:17319ms step_avg:237.24ms
step:74/2500 train_time:17555ms step_avg:237.23ms
step:75/2500 train_time:17793ms step_avg:237.24ms
step:76/2500 train_time:18030ms step_avg:237.24ms
step:77/2500 train_time:18270ms step_avg:237.27ms
step:78/2500 train_time:18509ms step_avg:237.29ms
step:79/2500 train_time:18746ms step_avg:237.30ms
step:80/2500 train_time:18983ms step_avg:237.28ms
step:81/2500 train_time:19221ms step_avg:237.30ms
step:82/2500 train_time:19460ms step_avg:237.31ms
step:83/2500 train_time:19698ms step_avg:237.32ms
step:84/2500 train_time:19934ms step_avg:237.31ms
step:85/2500 train_time:20172ms step_avg:237.31ms
step:86/2500 train_time:20411ms step_avg:237.34ms
step:87/2500 train_time:20651ms step_avg:237.37ms
step:88/2500 train_time:20889ms step_avg:237.37ms
step:89/2500 train_time:21126ms step_avg:237.37ms
step:90/2500 train_time:21363ms step_avg:237.37ms
step:91/2500 train_time:21603ms step_avg:237.39ms
step:92/2500 train_time:21841ms step_avg:237.40ms
step:93/2500 train_time:22081ms step_avg:237.43ms
step:94/2500 train_time:22318ms step_avg:237.42ms
step:95/2500 train_time:22557ms step_avg:237.44ms
step:96/2500 train_time:22793ms step_avg:237.43ms
step:97/2500 train_time:23032ms step_avg:237.44ms
step:98/2500 train_time:23269ms step_avg:237.44ms
step:99/2500 train_time:23509ms step_avg:237.46ms
step:100/2500 train_time:23746ms step_avg:237.46ms
step:101/2500 train_time:23984ms step_avg:237.47ms
step:102/2500 train_time:24222ms step_avg:237.47ms
step:103/2500 train_time:24461ms step_avg:237.49ms
step:104/2500 train_time:24700ms step_avg:237.50ms
step:105/2500 train_time:24939ms step_avg:237.51ms
step:106/2500 train_time:25177ms step_avg:237.52ms
step:107/2500 train_time:25414ms step_avg:237.52ms
step:108/2500 train_time:25652ms step_avg:237.51ms
step:109/2500 train_time:25891ms step_avg:237.53ms
step:110/2500 train_time:26129ms step_avg:237.54ms
step:111/2500 train_time:26368ms step_avg:237.55ms
step:112/2500 train_time:26606ms step_avg:237.56ms
step:113/2500 train_time:26845ms step_avg:237.57ms
step:114/2500 train_time:27083ms step_avg:237.57ms
step:115/2500 train_time:27322ms step_avg:237.58ms
step:116/2500 train_time:27563ms step_avg:237.61ms
step:117/2500 train_time:27800ms step_avg:237.61ms
step:118/2500 train_time:28038ms step_avg:237.61ms
step:119/2500 train_time:28276ms step_avg:237.62ms
step:120/2500 train_time:28514ms step_avg:237.62ms
step:121/2500 train_time:28753ms step_avg:237.62ms
